Source;Target;Weight
Poussou, Jean-Pierre;Vergé-Franceschi, Michel;15
Bournonville, Coralie;Pelvilain, Sergine;15
Philip, Laure;Reboul, Juliette;15
Salaün, Franck;Taïeb, Patrick;15
Mostefai, Ourida;Weltman-Aron, Brigitte;15
Faulot, Audrey;Pelvilain, Sergine;15
Gladu, Kim;Krief, Huguette;15
Choudhury, Mira;Watkins, Daniel J.;14
Parsis-Barubé, Odile;Vuillemin, Nathalie;14
Edelstein, Dan;Matytsin, Anton M.;14
Cossic-Péricarpin, Annick;Jones, Emrys D.;14
Biskup, Thomas;Pečar, Andreas;14
Ottazzi, Alice;Tauziède-Espariat, Maël;14
Magnot-Ogilvy, Florence;Poirson, Martial;14
Boulad-Ayoub, Josiane;Torero-Ibad, Alexandra;14
Denis, Vincent;la collaboration de Vincent Milliot, avec;14
Cicchini, Marco;Denis, Vincent;14
Burkardt, Albrecht;Grévy, Jérôme;14
Bonnet, Alain;Coquery, Natacha;14
Guédron, Martial;Laboulais, Isabelle;14
Loir, Christophe;Turcot, Laurent;14
Delon, Michel;Farrugia, Guilhem;14
Denis, Vincent;Porret, Michel;14
Nemeth, Elisabeth;Roudet, Nicolas;14
Coudreuse, Anne;Seth, Catriona;14
Jouvet, Ludovic;Ottazzi, Alice;14
Jouvet, Ludovic;Tauziède-Espariat, Maël;14
Coignard, Tristan;Spector, Céline;14
Bethume, Kim;Huys, Jean-Philippe;14
Alfani, Guido;Robin, Isabelle;14
Gourdon, Vincent;Robin, Isabelle;14
Igalens, Jean-Christophe;Leborgne, Érik;14
Barroux, Gilles;Pépin, François;14
Alfani, Guido;Gourdon, Vincent;14
Bardout, Jean-Christophe;Carraud, Vincent;14
Hagengruber, Ruth;Hecht, Hartmut;14
Leterrier, Sophie-Anne;Tort, Olivier;14
Bossi, Maurizio;Greppi, Claudio;14
Porret, Michel;la collaboration de Vincent Milliot, avec;14
Biard, Michel;Ducange, Jean-Numa;14
Borgne, Françoise Le;Platelle, Fanny;14
Audegean, Philippe;Delia, Luigi;14
Cicchini, Marco;la collaboration de Vincent Milliot, avec;14
Farrugia, Guilhem;Parmentier, Marie;13
Beaurepaire, Pierre-Yves;Taurisson, Dominique;13
Farrugia, Guilhem;Loubier, Pierre;13
Pollmann, Judith;te Velde, Henk;13
Hassler, Éric;Motta, Anne;13
Cossic-Péricarpin, Annick;Kerhervé, Alain;13
Beaurepaire, Pierre-Yves;Loiselle, Kenneth;13
Beaurepaire, Pierre-Yves;Mercier, Jean-Marie;13
Courouau, Jean-François;Luciani, Isabelle;13
Gullstam, Maria;O’Dea, Michael;13
Charrak, André;Salem, Jean;13
Belleguic, Thierry;Vasak, Anouchka;13
Rideau, Gaël;Vickermann-Ribémont, Gabriele;13
Haroche-Bouzinac, Geneviève;Vickermann-Ribémont, Gabriele;13
Haroche-Bouzinac, Geneviève;Rideau, Gaël;13
Esmein-Sarrazin, Camille;Vickermann-Ribémont, Gabriele;13
Esmein-Sarrazin, Camille;Rideau, Gaël;13
Esmein-Sarrazin, Camille;Haroche-Bouzinac, Geneviève;13
Borgne, Françoise Le;Vuillemin, Nathalie;13
Borgne, Françoise Le;Parsis-Barubé, Odile;13
Delon, Michel;Goulemot, Jean M.;13
Benrekassa, Georges;Buffat, Marc;13
Benrekassa, Georges;Chartier, Pierre;13
Buffat, Marc;Chartier, Pierre;13
Cossic-Péricarpin, Annick;Dachez, Hélène;13
